YEAR,DOY,SRAD,TMAX,TMIN,PR
01/01/2018,18001,5.94,12.49,3.32,0.02
01/02/2018,18002,1.42,10.25,4.28,2.21
01/03/2018,18003,12.61,15.62,2.14,0.11
01/04/2018,18004,15.57,19.61,0.37,0.02
01/05/2018,18005,14.51,21.58,5.31,0
01/06/2018,18006,10.83,22.09,6.82,0.01
01/07/2018,18007,10.37,23.59,13.66,0.01
01/08/2018,18008,11.25,24.51,10.7,0
01/09/2018,18009,8.08,17.18,9.47,0.01
01/10/2018,18010,8.95,19.68,6.71,0.06
01/11/2018,18011,3.02,20.46,11.15,4.25
01/12/2018,18012,15.61,19.28,6.01,0.07
01/13/2018,18013,11,16.01,2.71,0
01/14/2018,18014,4.82,10.57,4.12,0.03
01/15/2018,18015,3.13,12.05,6.56,0.83
01/16/2018,18016,7.5,19.33,6.89,0.1
01/17/2018,18017,14.18,21.83,7.62,0.05
01/18/2018,18018,5.5,23.64,9.85,0.12
01/19/2018,18019,15.63,17.47,4.82,0
01/20/2018,18020,16.13,16.49,1.77,0.01
01/21/2018,18021,16.26,19.16,1.22,0
01/22/2018,18022,5.41,18.66,7.58,0.19
01/23/2018,18023,16.51,15.21,3.42,0
01/24/2018,18024,16.96,19.61,1.64,0.04
01/25/2018,18025,10.09,17.12,2.86,0
01/26/2018,18026,7.45,18.62,8.96,0.65
01/27/2018,18027,16.48,20.36,8.13,0.44
01/28/2018,18028,17.07,22.07,5.05,0
01/29/2018,18029,16.54,12.9,1.59,0
01/30/2018,18030,8.25,14.26,2.46,0.02
01/31/2018,18031,5.36,17.05,7.57,0.55
02/01/2018,18032,6.35,21.84,10.51,0.28
02/02/2018,18033,6.96,22.22,12.23,0.15
02/03/2018,18034,8.45,24.2,11.96,0.03
02/04/2018,18035,4.68,23.15,13.37,0.14
02/05/2018,18036,5.86,27.27,13.7,0.05
02/06/2018,18037,8.08,29.7,16.47,0.02
02/07/2018,18038,12.13,23.26,8,0
02/08/2018,18039,4.35,7.13,3.28,2.68
02/09/2018,18040,4.18,8.73,2.51,0.7
02/10/2018,18041,5.58,13.12,3.99,0.44
02/11/2018,18042,2.54,20.2,7.81,0.98
02/12/2018,18043,20.14,21.52,4.77,0
02/13/2018,18044,18.02,20.81,1.94,0.02
02/14/2018,18045,12.58,25.47,7.3,0
02/15/2018,18046,14.69,32.68,11.47,0
02/16/2018,18047,16.84,26.1,13.74,0
02/17/2018,18048,19.72,25.36,9.36,0.01
02/18/2018,18049,15.43,19.07,5.09,0.02
02/19/2018,18050,5.59,12.5,6.41,0.13
02/20/2018,18051,20.01,19.11,2.64,0
02/21/2018,18052,9.89,15.72,6.46,0.05
02/22/2018,18053,10.58,25.05,7.76,0.12
02/23/2018,18054,17.09,22.37,8.83,0.05
02/24/2018,18055,21.49,21.82,3.23,0
02/25/2018,18056,19.48,21.64,6.85,0.01
02/26/2018,18057,11.85,26.25,11.25,0.03
02/27/2018,18058,15.66,29.03,14.97,0
02/28/2018,18059,5.77,26.81,12.24,0.13
03/01/2018,18060,10.18,28.49,10.82,0.22
03/02/2018,18061,4.74,27.9,14.72,0.31
03/03/2018,18062,8.47,25.16,5.07,0.22
03/04/2018,18063,10.98,10.72,1.36,0.01
03/05/2018,18064,18.21,12.4,-0.41,0
03/06/2018,18065,19.69,14.38,1.61,0
03/07/2018,18066,15.15,22.88,4.84,0
03/08/2018,18067,12.3,31.77,12.98,0.01
03/09/2018,18068,20.37,30.42,17.17,0.02
03/10/2018,18069,7.7,29.51,16.2,0.04
03/11/2018,18070,5.18,25.58,18.57,1.02
03/12/2018,18071,8.14,28.56,18.38,1.67
03/13/2018,18072,23.96,30.69,12.96,1.03
03/14/2018,18073,24.03,26.8,11.47,4.85
03/15/2018,18074,11.49,16.57,9.8,0.01
03/16/2018,18075,15.09,17.47,8.33,0
03/17/2018,18076,19.86,18.35,8.39,0
03/18/2018,18077,21.66,22.39,7.79,0
03/19/2018,18078,19.76,22.08,8.37,0
03/20/2018,18079,13.1,23.7,11.39,0.38
03/21/2018,18080,18.67,26.55,11.78,0.09
03/22/2018,18081,15.42,27.84,12.42,0.02
03/23/2018,18082,10.12,29.34,16.12,0
03/24/2018,18083,10.41,32.1,16.3,0
03/25/2018,18084,17.01,31.62,17.81,0
03/26/2018,18085,22.66,29.44,16.31,0
03/27/2018,18086,10.98,28.72,15.41,0
03/28/2018,18087,14.69,30.02,16.23,0
03/29/2018,18088,12.76,31.89,16.96,0
03/30/2018,18089,15.74,24.99,11.98,0.07
03/31/2018,18090,16.29,18.48,7.62,0.76
04/01/2018,18091,19.78,21.34,5.52,0
04/02/2018,18092,24.25,25.8,7.62,0
04/03/2018,18093,5.66,29.17,13.74,0.56
04/04/2018,18094,22.69,34.46,17.28,0.21
04/05/2018,18095,21.96,32.18,16.49,0
04/06/2018,18096,15.01,30.4,19.25,10.34
04/07/2018,18097,16.9,31.6,16.6,10.19
04/08/2018,18098,26.98,32.99,14.31,0.08
04/09/2018,18099,25.72,36.31,16.39,0
04/10/2018,18100,27.64,40.48,15.64,0
04/11/2018,18101,23.43,30.74,15.35,0
04/12/2018,18102,27.18,30.61,10.84,0.3
04/13/2018,18103,24.43,27.23,10.55,3.76
04/14/2018,18104,27.47,26.35,7.74,0
04/15/2018,18105,27.91,31.89,11.13,0
04/16/2018,18106,15.44,31.62,17.07,0
04/17/2018,18107,17.71,36.09,20.06,10.68
04/18/2018,18108,26.07,28.27,14.42,1.5
04/19/2018,18109,28.8,30.22,12.55,0
04/20/2018,18110,28.36,32.88,10.67,0
04/21/2018,18111,21.14,32.5,14.33,0
04/22/2018,18112,16.32,27.46,17.8,0
04/23/2018,18113,7.03,29.35,18.99,0.14
04/24/2018,18114,7.44,30.46,13.72,9.47
04/25/2018,18115,28.95,33.47,12.79,0
04/26/2018,18116,27.95,33.18,16.3,0
04/27/2018,18117,28.57,35.7,15.93,0.04
04/28/2018,18118,26.48,35.57,17.7,0
04/29/2018,18119,10.47,31.68,19.73,0.03
04/30/2018,18120,9.04,33.57,21.17,0.19
05/01/2018,18121,5.8,35.42,21.58,0.17
05/02/2018,18122,9.15,30.57,21.49,11.38
05/03/2018,18123,10.69,31.13,21.19,14.5
05/04/2018,18124,20.31,31.45,18.66,0.85
05/05/2018,18125,22.82,29.63,18.36,9.2
05/06/2018,18126,16.33,26.88,19.29,3.61
05/07/2018,18127,15.91,30.54,20.74,1.49
05/08/2018,18128,21.22,34.46,21.63,1.5
05/09/2018,18129,12.63,33.79,18.26,4.16
05/10/2018,18130,7.65,23.84,15.2,1.52
05/11/2018,18131,13.96,27.67,14.44,0.97
05/12/2018,18132,26.41,28.4,14.43,0.05
05/13/2018,18133,20.79,28.48,14.63,0.37
05/14/2018,18134,18.48,32.08,18.71,0.46
